	Défense +	X Defense	Monte la Défense pendant un combat. L’effet s’estompe si le Pokémon se retire.
	Muscle +	Dire Hit	Monte fortement le taux de critiques. Utilisable une seule fois. L’effet disparaît si le Pokémon se retire.
	Défense Spéc	Guard Spec.	Empêche la réduction des stats de tous les Pokémon de l’équipe pendant 5 tours.
	Déf. Spé. +	X Sp. Def	Monte la Défense Spéciale pendant un combat. L’effet s’estompe si le Pokémon se retire.
	Attaque +	X Attack	Monte l’Attaque pendant un combat. L’effet s’estompe si le Pokémon se retire.
	Spécial +	X Special	Monte l’Attaque Spéciale pendant un combat. L’effet s’estompe si le Pokémon se retire.
	Précision +	X Accuracy	Monte la Précision pendant un combat. L’effet s’estompe si le Pokémon se retire.
	Vitesse +	X Speed	Monte la Vitesse pendant un combat. L’effet s’estompe si le Pokémon se retire.
	Baie Tamato	Tamato Berry	Rend les Pokémon plus amicaux, mais baisse leur stat Vitesse de base.
	Baie Résin	Grepa Berry	Rend les Pokémon plus amicaux, mais baisse leur stat Défense Spéciale de base.
	Baie Lonme	Hondew Berry	Rend les Pokémon plus amicaux, mais baisse leur stat Attaque Spéciale de base.
	Baie Qualot	Qualot Berry	Rend les Pokémon plus amicaux, mais baisse leur stat Défense de base.
	Baie Alga	Kelpsy Berry	Rend les Pokémon plus amicaux, mais baisse leur stat Attaque de base.
	Baie Grena	Pomeg Berry	Rend les Pokémon plus amicaux, mais baisse leurs PV de base.
	Baie Mepo	Leppa Berry	Baie qui restaure 10 PP lorsqu’elle est tenue par un Pokémon.
	Baie Willia	Aspear Berry	Baie qui soigne le gel lorsqu’elle est tenue par un Pokémon.
	Baie Fraive	Rawst Berry	Baie qui soigne les brûlures lorsqu’elle est tenue par un Pokémon.
	Baie Pêcha	Pecha Berry	Baie qui soigne l’empoisonnement lorsqu’elle est tenue par un Pokémon.
	Baie Maron	Chesto Berry	Baie qui soigne le sommeil lorsqu’elle est tenue par un Pokémon.
	Baie Oran	Oran Berry	Baie qui restaure 10 PV lorsqu’elle est tenue par un Pokémon.
	Baie Sitrus	Sitrus Berry	Baie qui restaure quelques PV lorsqu’elle est tenue par un Pokémon.
	Baie Prine	Lum Berry	Baie qui soigne tous les problèmes de statut lorsqu’elle est tenue par un Pokémon.
	Baie Kika	Persim Berry	Baie qui soigne la confusion lorsqu’elle est tenue par un Pokémon.
	Baie Ceriz	Cheri Berry	Baie qui soigne la paralysie lorsqu’elle est tenue par un Pokémon.
	Baie Pommo	Rowap Berry	Tenue, cette Baie inflige des dégâts à l’ennemi s’il utilise une attaque spéciale qui atteint son but.
	Baie Rangma	Kee Berry	Tenue, cette Baie booste la Défense du Pokémon.
	Baie Jaboca	Jaboca Berry	Tenue, cette Baie inflige des dégâts à l’ennemi s’il utilise une attaque physique qui atteint son but.
	Baie Éka	Maranga Berry	Tenue, cette Baie booste la Défense Spéciale du Pokémon.
	Baie Enigma	Enigma Berry	Tenue, cette Baie restaure les PV du Pokémon s’il subit une attaque super efficace.
	Baie Abriko	Apicot Berry	Tenue, cette Baie monte la Déf. Spé. en cas de besoin.
	Baie Lansat	Lansat Berry	Tenue, cette Baie monte le taux de critiques en cas de besoin.
	Baie Micle	Micle Berry	Tenue, cette Baie augmente une fois la Précision d’une capacité en cas de besoin.
	Baie Pitaye	Petaya Berry	Tenue, cette Baie monte l’Atq. Spé. en cas de besoin.
	Baie Sailak	Salac Berry	Tenue, cette Baie monte la Vitesse en cas de besoin.
	Baie Lichii	Liechi Berry	Tenue, cette Baie monte l’Attaque en cas de besoin.
	Baie Lingan	Ganlon Berry	Tenue, cette Baie monte la Défense en cas de besoin.
